author_id,author_name,work_id,page_title,creation_date,raw_character_count,original_cleaned_character_count,cleaned_character_count,han_character_count,removed_character_count,metadata_removed_character_count,metadata_removed_block_count,paragraph_count,sentence_count,segmented_token_count,short_interaction_count,multi_interaction_count,full_pinyin_success_count,initial_pinyin_success_count,alignment_failure_count,original_script_distribution,script_distribution,opencc_changed_character_count,boundary_sequence_count,punctuation_boundary_count,latin_or_digit_boundary_count,whitespace_boundary_count,other_symbol_boundary_count,original_cleaned_sha256,simplified_cleaned_sha256
da-author-etinjat-1c584251,Etinjat,da-work-993066801,笔记：没有人了解管理员的秘密,2020-02-20,765,756,756,599,9,0,0,2,21,333,332,250,582,582,0,simplified,simplified,0,83,69,3,31,20,095334f43f29318ee181e07e1b3ada6a61751423df67573f3b4b2372bafbb3d5,095334f43f29318ee181e07e1b3ada6a61751423df67573f3b4b2372bafbb3d5
da-author-mscarlet-78b5e8fb,MScarlet,da-work-998805909,安布羅斯香江誠草店的菜單,2020-02-29,3797,3289,3289,2312,508,417,1,45,55,1386,1385,1163,2548,2548,0,traditional,simplified,581,222,149,44,115,22,a8901905aa69b7b9a3171d992901c0eb4802ede24f36f54272ee931f3a895515,5993bebfa5ac0a66d8d44ab8980258085a9f1c1429d840341f36d14838eaaa65
da-author-etinjat-1c584251,Etinjat,da-work-999247145,前传：无人见此异变,2020-03-01,4791,4784,4784,4339,7,0,0,2,132,2611,2610,2194,4804,4804,0,simplified,simplified,0,416,416,0,19,0,88fedb1903f763fd4d39f8e3937fa6133d4ffbc5e6a7da389ad8798cda810826,88fedb1903f763fd4d39f8e3937fa6133d4ffbc5e6a7da389ad8798cda810826
da-author-etinjat-1c584251,Etinjat,da-work-999696783,共醉酩酊迷大梦，不知伊人在何方,2020-03-04,2014,1977,1977,1261,37,0,0,8,35,758,757,602,1359,1359,0,simplified,simplified,0,156,151,42,61,2,812871baaecf4995c2f731684d6be62fdb2629c379020afb00c25e0c1f695d3e,812871baaecf4995c2f731684d6be62fdb2629c379020afb00c25e0c1f695d3e
da-author-etinjat-1c584251,Etinjat,da-work-999737203,无字碑,2020-03-06,743,743,743,556,0,0,0,2,16,314,313,260,573,573,0,simplified,simplified,0,55,53,9,13,2,b7d463c17eafa275ec00030408ce09ec06ffd1be8df7181b19087d02497c31c1,b7d463c17eafa275ec00030408ce09ec06ffd1be8df7181b19087d02497c31c1
da-author-breaddddd-d9923f3d,breaddddd,da-work-999753970,单色房间,2020-03-07,2215,2203,2203,1763,12,0,0,15,53,1018,1017,837,1854,1854,0,simplified,simplified,0,181,157,33,36,2,827eca8b092f3f3f5e1c405e3d3ba4e4f7399e01df79d8fe76559e39df2d1f99,827eca8b092f3f3f5e1c405e3d3ba4e4f7399e01df79d8fe76559e39df2d1f99
da-author-etinjat-1c584251,Etinjat,da-work-999856373,雾中怪谈,2020-03-11,980,972,972,763,8,0,0,6,20,426,425,352,777,777,0,simplified,simplified,0,74,70,13,20,1,d9917ad5cd18f7850138b3c79c0c230cc56fd40e8221e6018e113364cdded875,d9917ad5cd18f7850138b3c79c0c230cc56fd40e8221e6018e113364cdded875
da-author-etinjat-1c584251,Etinjat,da-work-999864019,请前往Site-CN-44以获取独立储存的数据,2020-03-11,1816,1743,1743,1251,73,0,0,14,27,702,701,583,1284,1284,0,simplified,simplified,0,119,113,29,36,7,9442414f953fcdd80cc059de8e1230cbdbe2865f8f891d8b4192db0f341795f3,9442414f953fcdd80cc059de8e1230cbdbe2865f8f891d8b4192db0f341795f3
da-author-agent-phage-bc08199e,Agent Phage,da-work-999922846,是否还在身旁？,2020-03-13,2494,2306,2306,1493,188,0,0,22,47,869,868,701,1569,1569,0,simplified,simplified,0,167,148,63,33,2,62ef3374919730771bdb289c89a2a085b16138070ced27026cac7cf2af97cf2f,62ef3374919730771bdb289c89a2a085b16138070ced27026cac7cf2af97cf2f
da-author-etinjat-1c584251,Etinjat,da-work-999927899,超形上学冒泡泡，尽揽叙事酷到爆,2020-03-13,1733,1694,1694,1078,39,0,0,10,27,631,630,508,1138,1138,0,simplified,simplified,0,124,119,41,22,0,48563a8460ed158a810d8e631b44d372d6af082f9ad1865227dc3cd3bce91855,48563a8460ed158a810d8e631b44d372d6af082f9ad1865227dc3cd3bce91855
