author_id,author_name,work_id,page_title,creation_date,raw_character_count,cleaned_character_count,han_character_count,removed_character_count,paragraph_count,sentence_count,segmented_token_count,short_interaction_count,multi_interaction_count,full_pinyin_success_count,initial_pinyin_success_count,alignment_failure_count,script_distribution
da-author-agent-phage-bc08199e,Agent Phage,da-work-817623443,世末积雨云,2019-06-21,5753,5676,4359,77,28,123,3242,2417,1993,4410,4410,0,simplified
da-author-breaddddd-d9923f3d,breaddddd,da-work-822917699,文语谈 第五期：斯卡,2019-06-24,9269,9062,6900,207,176,120,5802,4276,3469,7745,7745,0,mixed
da-author-etinjat-1c584251,Etinjat,da-work-822940210,LTE-4444-Bosch-ExMachina-Goodrick-Spiral,2019-06-25,8804,7516,4409,1288,137,136,4496,2507,1931,4438,4438,0,simplified
da-author-agent-phage-bc08199e,Agent Phage,da-work-834731206,忘却的旋律,2019-07-05,31495,30559,22646,936,107,1096,18831,13812,11356,25168,25168,0,simplified
da-author-etinjat-1c584251,Etinjat,da-work-835219410,爪爪逸闻：Inukai 和 Tekisasu ！,2019-07-07,3563,3526,2653,37,12,95,2169,1665,1350,3015,3015,0,simplified
da-author-breaddddd-d9923f3d,breaddddd,da-work-846459613,盒子快递,2019-07-16,2753,2750,2032,3,7,59,1656,1171,924,2095,2095,0,simplified
da-author-etinjat-1c584251,Etinjat,da-work-846940595,何曾歌日下？幻梦坠幽冥,2019-07-24,5174,5124,4531,50,4,148,3280,2727,2248,4975,4975,0,simplified
da-author-breaddddd-d9923f3d,breaddddd,da-work-847205462,第二卷，世界77，节选：千城之城,2019-07-27,3824,3804,3423,20,10,148,2462,2081,1736,3817,3817,0,simplified
da-author-agent-phage-bc08199e,Agent Phage,da-work-850079576,KTE-1357-Smitty,2019-07-31,5693,5530,4084,163,30,120,3130,2331,1933,4264,4264,0,simplified
da-author-agent-phage-bc08199e,Agent Phage,da-work-852946049,LTE-8118-Moro,2019-08-03,6755,6671,5508,84,47,168,3869,3047,2543,5590,5590,0,simplified
da-author-qblevi-494cde49,QBLevi,da-work-854836245,重返流浪地球,2019-08-10,1883,1884,1531,0,22,100,1165,877,704,1581,1581,0,simplified
