author,work_id,condition,n,top1,top3,mrr_at_10,missing_at_10,mean_rank_given_top10
Etinjat,da-work-1331158659,initial_short,118,0.2796610169491525,0.3728813559322034,0.3400188323917137,0.4915254237288136,2.566666666666667
Etinjat,da-work-1331206445,full_multi3,118,0.2796610169491525,0.3983050847457627,0.3568839117567931,0.4745762711864407,2.467741935483871
Etinjat,da-work-1331206445,full_short,118,0.6864406779661016,0.8728813559322034,0.7837570621468927,0.07627118644067797,1.4495412844036697
Etinjat,da-work-1331206445,initial_multi3,118,0.025423728813559324,0.0423728813559322,0.04492534301856336,0.8983050847457628,3.6666666666666665
Etinjat,da-work-1331206445,initial_short,118,0.3135593220338983,0.4152542372881356,0.3744921980091471,0.5,2.1186440677966103
MScarlet,da-work-1020114949,full_multi3,125,0.072,0.088,0.09600952380952381,0.832,3.142857142857143
MScarlet,da-work-1020114949,full_short,125,0.4,0.536,0.48228253968253965,0.344,2.2804878048780486
MScarlet,da-work-1020114949,initial_multi3,125,0.0,0.0,0.0,1.0,
MScarlet,da-work-1020114949,initial_short,125,0.096,0.208,0.166015873015873,0.656,3.6744186046511627
MScarlet,da-work-1165207306,full_multi3,125,0.04,0.144,0.09454285714285715,0.808,3.125
MScarlet,da-work-1165207306,full_short,125,0.448,0.536,0.5151746031746032,0.312,2.395348837209302
MScarlet,da-work-1165207306,initial_multi3,125,0.0,0.0,0.0013333333333333333,0.992,6.0
MScarlet,da-work-1165207306,initial_short,125,0.216,0.264,0.2561650793650794,0.608,3.0
MScarlet,da-work-1306973577,full_multi3,125,0.056,0.08,0.0754095238095238,0.88,2.7333333333333334
MScarlet,da-work-1306973577,full_short,125,0.408,0.464,0.4530761904761905,0.424,2.1527777777777777
MScarlet,da-work-1306973577,initial_multi3,125,0.008,0.016,0.012888888888888889,0.976,4.0
MScarlet,da-work-1306973577,initial_short,125,0.2,0.32,0.2608888888888889,0.64,2.088888888888889
MScarlet,da-work-1308568581,full_multi3,125,0.04,0.104,0.07236507936507937,0.872,2.9375
MScarlet,da-work-1308568581,full_short,125,0.344,0.552,0.44724444444444444,0.384,2.0259740259740258
MScarlet,da-work-1308568581,initial_multi3,125,0.0,0.016,0.007466666666666667,0.976,5.0
MScarlet,da-work-1308568581,initial_short,125,0.184,0.248,0.22342222222222222,0.664,2.761904761904762
MScarlet,da-work-801885584,full_multi3,125,0.104,0.136,0.12816507936507934,0.792,3.4615384615384617
MScarlet,da-work-801885584,full_short,125,0.384,0.496,0.45878730158730163,0.376,2.217948717948718
MScarlet,da-work-801885584,initial_multi3,125,0.032,0.04,0.03580952380952381,0.952,2.3333333333333335
MScarlet,da-work-801885584,initial_short,125,0.168,0.272,0.22815238095238094,0.656,2.5348837209302326
MScarlet,da-work-858424800,full_multi3,125,0.08,0.12,0.1059968253968254,0.824,3.227272727272727
MScarlet,da-work-858424800,full_short,125,0.408,0.56,0.4935936507936508,0.336,2.2289156626506026
MScarlet,da-work-858424800,initial_multi3,125,0.0,0.008,0.006,0.984,3.0
MScarlet,da-work-858424800,initial_short,125,0.176,0.304,0.24783174603174604,0.592,2.823529411764706
MScarlet,da-work-986500928,full_multi3,125,0.032,0.056,0.05731111111111111,0.856,5.055555555555555
