author,rank,target,author_count,other_authors_count,author_rate,other_authors_rate,log2_rate_ratio_smoothed
Etinjat,68,将其,7,9,0.00016666666666666666,5.357142857142857e-05,1.678046143084556
Etinjat,69,随着,7,9,0.00016666666666666666,5.357142857142857e-05,1.678046143084556
Etinjat,70,如,11,15,0.0002619047619047619,8.928571428571429e-05,1.5849367386930748
Etinjat,71,自身的,5,7,0.00011904761904761905,4.1666666666666665e-05,1.5849367386930748
Etinjat,72,则,15,21,0.00035714285714285714,0.000125,1.5405426193346212
Etinjat,73,者,21,31,0.0005,0.00018452380952380953,1.4594058566092156
Etinjat,74,外,7,11,0.00016666666666666666,6.547619047619048e-05,1.4150117372507622
Etinjat,75,文件,5,8,0.00011904761904761905,4.761904761904762e-05,1.4150117372507622
Etinjat,76,之中,8,13,0.00019047619047619048,7.738095238095238e-05,1.3625443173566267
Etinjat,77,危害,5,9,0.00011904761904761905,5.357142857142857e-05,1.2630086438057124
Etinjat,78,发出,5,9,0.00011904761904761905,5.357142857142857e-05,1.2630086438057124
Etinjat,79,天,5,9,0.00011904761904761905,5.357142857142857e-05,1.2630086438057124
Etinjat,80,因,9,16,0.00021428571428571427,9.523809523809524e-05,1.2344394916089412
Etinjat,81,便,6,11,0.00014285714285714287,6.547619047619048e-05,1.2223666593083664
Etinjat,82,神,6,11,0.00014285714285714287,6.547619047619048e-05,1.2223666593083664
Etinjat,83,也许,5,11,0.00011904761904761905,6.547619047619048e-05,0.9999742379719183
Etinjat,84,突然,5,11,0.00011904761904761905,6.547619047619048e-05,0.9999742379719183
Etinjat,85,得,13,28,0.0003095238095238095,0.00016666666666666666,0.9493481649019505
Etinjat,86,文章,6,14,0.00014285714285714287,8.333333333333333e-05,0.9004385644210039
Etinjat,87,自身,6,14,0.00014285714285714287,8.333333333333333e-05,0.9004385644210039
Etinjat,88,或,21,47,0.0005,0.0002797619047619048,0.8744433558880593
Etinjat,89,大,13,30,0.0003095238095238095,0.00017857142857142857,0.8531328496426472
Etinjat,90,若,8,19,0.00019047619047619048,0.00011309523809523809,0.8479711445268684
Etinjat,91,本,6,15,0.00014285714285714287,8.928571428571429e-05,0.8073291600295226
Etinjat,92,的东西,6,15,0.00014285714285714287,8.928571428571429e-05,0.8073291600295226
Etinjat,93,以,26,64,0.000619047619047619,0.00038095238095238096,0.7324939271069325
Etinjat,94,中的,10,26,0.0002380952380952381,0.00015476190476190475,0.7045183544457472
Etinjat,95,破碎,7,19,0.00016666666666666666,0.00011309523809523809,0.678046143084556
Etinjat,96,奇术,5,14,0.00011904761904761905,8.333333333333333e-05,0.678046143084556
Etinjat,97,却,7,21,0.00016666666666666666,0.000125,0.5405426193346211
Etinjat,98,而,40,113,0.0009523809523809524,0.0006726190476190477,0.5246362284252605
Etinjat,99,一定,5,16,0.00011904761904761905,9.523809523809524e-05,0.49747389744273524
Etinjat,100,一切,6,19,0.00014285714285714287,0.00011309523809523809,0.4854010651421603
QBLevi,1,李维,14,0,0.0003333333333333333,0.0,5.906864833580437
QBLevi,2,汉娜,10,0,0.0002380952380952381,0.0,5.459405856609216
QBLevi,3,两人,9,0,0.00021428571428571427,0.0,5.321902332859281
QBLevi,4,对方,9,0,0.00021428571428571427,0.0,5.321902332859281
QBLevi,5,汉娜的,8,0,0.00019047619047619048,0.0,5.169899239414231
QBLevi,6,勘探,6,0,0.00014285714285714287,0.0,4.807329160029522
QBLevi,7,本项目,6,0,0.00014285714285714287,0.0,4.807329160029522
QBLevi,8,了口气,5,0,0.00011904761904761905,0.0,4.584936738693075
QBLevi,9,倒计时,5,0,0.00011904761904761905,0.0,4.584936738693075
QBLevi,10,匕首,5,0,0.00011904761904761905,0.0,4.584936738693075
QBLevi,11,小友,5,0,0.00011904761904761905,0.0,4.584936738693075
QBLevi,12,航行,5,0,0.00011904761904761905,0.0,4.584936738693075
QBLevi,13,队长,5,0,0.00011904761904761905,0.0,4.584936738693075
QBLevi,14,替身,6,1,0.00014285714285714287,5.9523809523809525e-06,3.8073291600295227
QBLevi,15,人形个体,5,1,0.00011904761904761905,5.9523809523809525e-06,3.5849367386930746
QBLevi,16,太阳,5,1,0.00011904761904761905,5.9523809523809525e-06,3.5849367386930746
QBLevi,17,日志,5,1,0.00011904761904761905,5.9523809523809525e-06,3.5849367386930746
QBLevi,18,星球,10,3,0.0002380952380952381,1.785714285714286e-05,3.4594058566092154
QBLevi,19,右手,5,2,0.00011904761904761905,1.1904761904761905e-05,2.999974237971918
QBLevi,20,在这里,5,2,0.00011904761904761905,1.1904761904761905e-05,2.999974237971918
QBLevi,21,一面,5,3,0.00011904761904761905,1.785714285714286e-05,2.5849367386930746
QBLevi,22,其它,5,3,0.00011904761904761905,1.785714285714286e-05,2.5849367386930746
QBLevi,23,她的,5,3,0.00011904761904761905,1.785714285714286e-05,2.5849367386930746
QBLevi,24,面前,5,3,0.00011904761904761905,1.785714285714286e-05,2.5849367386930746
QBLevi,25,我还,5,4,0.00011904761904761905,2.380952380952381e-05,2.2630086438057124
QBLevi,26,正式,5,4,0.00011904761904761905,2.380952380952381e-05,2.2630086438057124
QBLevi,27,了吗,6,5,0.00014285714285714287,2.9761904761904762e-05,2.222366659308366
QBLevi,28,启动,6,5,0.00014285714285714287,2.9761904761904762e-05,2.222366659308366
QBLevi,29,号,8,8,0.00019047619047619048,4.761904761904762e-05,1.9999742379719183
